nivel_lectura,porcentaje_acierto_quiz,cantidad_lecciones_dominadas,nivel_dificultad_recomendado
Intermedio,25.79416277151556,1,Leve
Avanzado,65.99840460341791,4,Moderada
Intermedio,81.72222002012158,5,Avanzada
Avanzado,55.52008115994623,3,Leve
Avanzado,52.965057835600646,5,Avanzada
Básico,24.18522909004517,0,Leve
Intermedio,9.310276780589922,0,Leve
Básico,89.72157579533267,5,Avanzada
Básico,90.04180571633304,6,Avanzada
Básico,63.31014572732679,4,Moderada
Intermedio,33.90297910487007,3,Moderada
Intermedio,34.92095746126609,0,Leve
Avanzado,72.59556788702393,5,Avanzada
Básico,89.71102599525771,6,Avanzada
Avanzado,88.70864242651173,5,Avanzada
Básico,77.98755458576238,6,Avanzada
Intermedio,64.20316461542878,3,Moderada
Intermedio,8.413996499504883,2,Leve
Intermedio,16.162871409461378,4,Leve
Básico,89.85541885270793,5,Avanzada
Intermedio,60.642905965958995,3,Moderada
Básico,0.9197051616629648,2,Leve
Avanzado,10.147154286603211,3,Leve
Básico,66.35017691080559,3,Moderada
Avanzado,0.5061583846218687,0,Leve
Básico,16.080805141749867,1,Leve
Avanzado,54.87337893665861,2,Moderada
Intermedio,69.18951976926932,3,Moderada
Avanzado,65.19612595026005,3,Moderada
Intermedio,22.42693094605598,0,Leve
Intermedio,71.2179221347536,4,Avanzada
Avanzado,23.724908749680008,2,Leve
Básico,32.539969815926774,4,Moderada
Básico,74.64914051180241,3,Moderada
Básico,64.96328990472146,5,Avanzada
Básico,84.9223410494178,5,Avanzada
Básico,65.76128923003434,4,Moderada
Intermedio,56.830860333547164,4,Moderada
Básico,9.367476782809248,0,Leve
Intermedio,36.77158030594335,3,Moderada
Intermedio,26.520236768172545,2,Leve
Intermedio,24.398964337908357,2,Leve
Avanzado,97.30105547524455,6,Leve
Avanzado,39.30977246667604,5,Moderada
Intermedio,89.20465551771133,5,Avanzada
Avanzado,63.11386259972629,3,Leve
Básico,79.48113035416485,4,Avanzada
Básico,50.26370931051921,2,Avanzada
Intermedio,57.69038846263591,3,Moderada
Básico,49.25176938188639,4,Moderada
Intermedio,19.52429877980445,3,Moderada
Intermedio,72.24521152615053,4,Avanzada
Básico,28.07723624408558,1,Avanzada
Avanzado,2.431596643145384,1,Leve
Básico,64.54722959071678,3,Moderada
Básico,17.711067940704893,2,Leve
Intermedio,94.04585843529144,6,Avanzada
Intermedio,95.39285770025873,4,Avanzada
Intermedio,91.48643902204485,6,Avanzada
Intermedio,37.01587002554444,4,Moderada
Avanzado,1.5456616528867428,0,Leve
Avanzado,92.83185625877253,5,Avanzada
Avanzado,42.81841483173143,3,Moderada
Intermedio,96.66548190436696,6,Avanzada
Intermedio,96.36199770892529,6,Avanzada
Intermedio,85.300945546736,6,Avanzada
Avanzado,29.444889206958567,2,Leve
Intermedio,38.50977286019253,1,Leve
Básico,85.11366715168569,3,Avanzada
Básico,31.692200515627768,1,Leve
Intermedio,16.94927466860925,1,Leve
Básico,55.68012624583501,5,Moderada
Básico,93.6154774160781,5,Avanzada
Avanzado,69.6029796674973,4,Leve
Intermedio,57.0061170089365,3,Moderada
Intermedio,9.717649377076853,2,Leve
Avanzado,61.500722669916975,6,Avanzada
Básico,99.00538501042632,5,Avanzada
Básico,14.008401523652402,0,Leve
Intermedio,51.832965236373674,4,Moderada
Básico,87.73730719279554,6,Avanzada
Avanzado,74.07686177542044,6,Avanzada
Avanzado,69.7015740995268,5,Avanzada
Intermedio,70.24840839871092,4,Avanzada
Avanzado,35.94911512197552,3,Moderada
Avanzado,29.359184426449335,3,Moderada
Intermedio,80.93611554785136,6,Avanzada
Avanzado,81.01133946791808,5,Avanzada
Avanzado,86.70723185801037,6,Avanzada
Avanzado,91.32405525564712,6,Avanzada
Básico,51.13423988609378,5,Moderada
Intermedio,50.15162946871996,4,Moderada
Intermedio,79.82951789667752,5,Avanzada
Intermedio,64.99639307777652,4,Moderada
Básico,70.19668772577033,6,Moderada
Básico,79.57926694361011,4,Avanzada
Intermedio,89.00053418175663,6,Avanzada
Básico,33.79951568515358,2,Leve
Intermedio,37.5582952639944,2,Leve
Básico,9.3981939840869,2,Leve
Avanzado,57.8280140996174,4,Moderada
Avanzado,3.5942273796742086,0,Leve
Intermedio,46.55980181324602,1,Moderada
Básico,54.26446347075766,4,Moderada
Básico,28.65412521282844,2,Leve
Avanzado,59.08332605690107,6,Avanzada
Avanzado,3.050024993904943,0,Leve
Básico,3.7348188749214417,0,Leve
Básico,82.26005606596583,5,Avanzada
Básico,36.019064141126286,4,Moderada
Básico,12.706051265188478,1,Leve
Básico,52.224326005480435,3,Moderada
Básico,76.99935530986109,5,Avanzada
Intermedio,21.582102749684317,2,Leve
Básico,62.28904758190003,3,Moderada
Avanzado,8.5347464993768,1,Leve
Intermedio,5.16817211686077,2,Leve
Básico,53.1354631568148,2,Moderada
Avanzado,54.06351216101065,3,Leve
Intermedio,63.742990149820656,3,Moderada
Avanzado,72.60913337226616,6,Avanzada
Básico,97.58520794625346,4,Avanzada
Básico,51.630034830119534,2,Moderada
Básico,32.2956472941246,2,Moderada
Básico,79.51861947687037,6,Avanzada
Intermedio,27.083225126207424,2,Leve
Intermedio,43.89714207056361,2,Moderada
Avanzado,7.845638134226595,3,Leve
Básico,2.535074341545751,0,Leve
Avanzado,96.26484146779251,3,Avanzada
Intermedio,83.59801205122058,6,Avanzada
Básico,69.59742060936979,4,Moderada
Básico,40.89529444142699,1,Leve
Intermedio,17.329432007084577,2,Avanzada
Intermedio,15.643704267108605,1,Leve
Intermedio,25.024289816459532,1,Leve
Intermedio,54.92266647061205,2,Moderada
Intermedio,71.45959227000624,5,Avanzada
Básico,66.01973767177313,5,Avanzada
Intermedio,27.993389694594285,2,Leve
Básico,95.48652806631941,6,Avanzada
Básico,73.78969166957685,3,Moderada
Intermedio,55.43540525114007,1,Moderada
Intermedio,61.17207462343522,3,Moderada
Básico,41.96000624277899,2,Leve
Intermedio,24.773098950115745,2,Leve
Intermedio,35.597267865126156,2,Leve
Intermedio,75.78461104643691,5,Avanzada
Avanzado,1.4393488629755868,0,Leve
Básico,11.607264050691624,2,Leve
Avanzado,4.600264202175275,0,Leve
Intermedio,4.072880231897013,2,Leve
Avanzado,85.54605840110072,6,Avanzada
Intermedio,70.36578593800236,5,Avanzada
Avanzado,47.41738290873252,4,Moderada
Intermedio,9.783416065100148,1,Leve
Avanzado,49.16158751168324,4,Moderada
Avanzado,47.34717707805657,4,Moderada
Avanzado,17.320186991001517,1,Leve
Básico,43.385164923797305,3,Moderada
Avanzado,39.85047343973734,2,Leve
Básico,61.585009805221645,5,Moderada
Intermedio,63.50936508676438,3,Moderada
Avanzado,4.530400977204452,2,Leve
Intermedio,37.46126146264712,2,Leve
Intermedio,62.58599157142364,2,Moderada
Avanzado,50.31362585800877,3,Moderada
Básico,85.64898411883223,4,Leve
Avanzado,65.8693631618945,5,Avanzada
Intermedio,16.29344270814297,0,Leve
Intermedio,7.056874740042984,0,Leve
Avanzado,64.24192782063156,2,Moderada
Básico,2.6511310541621813,0,Leve
Básico,58.57755812734633,1,Moderada
Intermedio,94.02302414249576,4,Avanzada
Intermedio,57.5474177875879,4,Moderada
Básico,38.816992620652194,3,Moderada
Avanzado,64.32882184423532,4,Moderada
Intermedio,45.825289049151664,2,Moderada
Básico,54.56167893159349,3,Moderada
Intermedio,94.14648087765252,6,Avanzada
Avanzado,38.610263780077425,1,Leve
Básico,96.11905638239142,6,Avanzada
Intermedio,90.53506419560637,6,Avanzada
Avanzado,19.579113478929642,1,Leve
Intermedio,6.9361300875165455,0,Leve
Avanzado,10.077800137742665,1,Leve
Avanzado,1.8221825651549728,0,Leve
Básico,9.44429607559284,0,Leve
Avanzado,68.30067734163569,3,Moderada
Intermedio,7.118864846022898,0,Leve
Avanzado,31.89756302937613,2,Leve
Avanzado,84.48753109694546,6,Avanzada
Básico,2.3271935735825866,1,Leve
Avanzado,81.44684825889358,4,Avanzada
Avanzado,28.185477477339994,2,Leve
Intermedio,11.816482762165625,2,Leve
Básico,69.67371653641507,5,Avanzada
Básico,62.8942846779884,4,Moderada
Básico,87.74720135270529,4,Avanzada
Avanzado,73.50710438038858,5,Leve
Básico,80.34809303848486,5,Avanzada
Avanzado,28.203457257130648,3,Avanzada
Avanzado,17.743954377972283,2,Leve
Intermedio,75.06147516408583,6,Avanzada
Intermedio,80.6834739267264,4,Avanzada
Intermedio,99.05051420006733,6,Avanzada
Intermedio,41.26176769114265,3,Moderada
Intermedio,37.201808579278314,5,Moderada
Avanzado,77.64129607419969,4,Avanzada
Avanzado,34.08035402530179,4,Moderada
Básico,93.07573256035647,6,Avanzada
Avanzado,85.84127518430118,4,Avanzada
Avanzado,42.89940273750184,2,Moderada
Intermedio,75.08710677914974,4,Avanzada
Avanzado,75.45428740846823,5,Avanzada
Intermedio,10.31238688359326,1,Leve
Básico,90.25529066795667,5,Moderada
Básico,50.525237244785714,3,Moderada
Avanzado,82.64574661077417,6,Avanzada
Básico,32.00496010306117,4,Moderada
Avanzado,89.55232284962005,6,Leve
Básico,38.92016787341631,2,Moderada
Intermedio,1.083765148029836,0,Leve
Intermedio,90.53819764192636,6,Avanzada
Intermedio,9.128667678613356,0,Leve
Intermedio,31.93136375904149,2,Leve
Avanzado,95.0061967050805,4,Avanzada
Básico,95.06071469375561,6,Avanzada
Avanzado,57.34378881232861,4,Moderada
Intermedio,63.183721216979926,3,Moderada
Avanzado,44.84455219783198,5,Moderada
Básico,29.321077169806454,0,Leve
Avanzado,32.8664545369916,0,Leve
Básico,67.25184560770384,4,Moderada
Avanzado,75.237452943768,6,Avanzada
Básico,79.15790437258485,6,Avanzada
Básico,78.96181427945538,4,Moderada
Intermedio,9.120610304869036,2,Leve
Básico,49.442030470258146,3,Moderada
Intermedio,5.755876001664428,0,Leve
Intermedio,54.95288823237355,4,Moderada
Intermedio,44.1530501373377,3,Moderada
Avanzado,88.77041827582998,3,Avanzada
Avanzado,35.09150125520787,4,Moderada
Avanzado,11.706701642760587,2,Leve
Avanzado,14.299168205283586,0,Leve
Básico,76.15106317174723,5,Avanzada
Básico,61.82180633162611,4,Moderada
Avanzado,10.112267612279025,1,Leve
Básico,8.410680611499743,0,Leve
Básico,70.096913145912,3,Moderada
Intermedio,7.276300636419353,0,Leve
Intermedio,82.18600592903562,6,Avanzada
Intermedio,70.62422271564962,5,Avanzada
Intermedio,8.134878064189976,0,Leve
Básico,8.483771408519193,1,Leve
Avanzado,98.66395785011754,3,Avanzada
Básico,37.427079575612034,4,Leve
Básico,37.06421470668909,0,Moderada
Básico,81.27995672575025,4,Avanzada
Intermedio,94.72485773838586,4,Avanzada
Intermedio,98.6001063822871,4,Avanzada
Intermedio,75.33781852589416,6,Avanzada
Avanzado,37.62595855309158,2,Moderada
Básico,8.350071669866876,1,Leve
Avanzado,77.71469159274368,5,Avanzada
Intermedio,55.840424973580504,4,Moderada
Avanzado,42.42220092469763,3,Moderada
Básico,90.6354385094736,4,Avanzada
Básico,11.119748230615134,2,Avanzada
Intermedio,49.262510429085914,2,Moderada
Intermedio,1.1353644767419069,0,Leve
Avanzado,46.86606419941263,2,Moderada
Intermedio,5.630327568183735,2,Leve
Intermedio,11.881791626807193,2,Leve
Básico,11.752624677710488,0,Leve
Intermedio,64.92103021160635,3,Moderada
Intermedio,74.60448792654233,4,Leve
Básico,58.336876509715964,6,Avanzada
Básico,96.21725484745419,6,Avanzada
Avanzado,37.48705795237041,3,Moderada
Intermedio,28.571208628186074,3,Leve
Básico,86.85991281894603,5,Avanzada
Avanzado,22.359583851945263,1,Leve
Avanzado,96.32225394406113,6,Avanzada
Intermedio,1.2154474689816341,0,Leve
Intermedio,96.98788267076391,6,Avanzada
Avanzado,4.315991195057611,1,Leve
Básico,89.11431136980711,5,Avanzada
Avanzado,52.77011090862999,4,Moderada
Intermedio,99.29647961193004,6,Avanzada
Básico,7.379656473539886,1,Leve
Básico,55.38542844013208,1,Moderada
Avanzado,96.9302535619099,6,Avanzada
Intermedio,52.30978441701488,4,Moderada
Avanzado,62.93986381352625,5,Avanzada
Avanzado,69.57486889846172,1,Moderada
Avanzado,45.454106476777326,5,Avanzada
Básico,62.75580800840635,4,Avanzada
Básico,58.43143119231002,5,Moderada
Intermedio,90.11580104909889,4,Avanzada
Intermedio,4.5446380341457875,1,Leve
Avanzado,28.096318959223034,0,Leve
Avanzado,95.04114840765587,5,Avanzada
Avanzado,89.02637838909163,6,Avanzada
Intermedio,45.56567527857129,3,Moderada
Básico,62.013259780153675,4,Moderada
Básico,27.738118298113267,3,Leve
Avanzado,18.81211597237613,2,Leve
Avanzado,46.36984049399822,3,Moderada
Avanzado,35.33522280260528,3,Moderada
Avanzado,58.365611185087204,6,Avanzada
Intermedio,7.773463696498483,0,Leve
Básico,97.43948076661665,6,Avanzada
Avanzado,98.62107444796028,6,Avanzada
Intermedio,69.81617140197451,6,Avanzada
Avanzado,53.60963663441204,5,Moderada
Avanzado,30.952761628632775,3,Leve
Básico,81.37950197069486,4,Avanzada
Avanzado,68.47311725538793,6,Avanzada
Básico,16.26169393448913,0,Leve
Básico,91.09271844938425,6,Avanzada
Básico,82.2537242923169,4,Avanzada
Intermedio,94.9799913291924,6,Moderada
Intermedio,72.571950838836,5,Leve
Básico,61.34151959357899,4,Moderada
Avanzado,41.82430362906189,3,Moderada
Básico,93.27284833540132,6,Avanzada
Avanzado,86.60638895004084,6,Avanzada
Básico,4.521867010618941,0,Leve
Avanzado,2.6366974497252005,1,Leve
Intermedio,37.64633668780496,4,Moderada
Avanzado,81.0553330781833,3,Avanzada
Básico,98.72761293149445,6,Avanzada
Intermedio,15.041689110352818,2,Leve
Avanzado,59.41307153521351,3,Moderada
Avanzado,38.08908566310215,4,Moderada
Avanzado,96.99143978146031,6,Avanzada
Avanzado,84.21189231357087,5,Avanzada
Avanzado,83.83287047111378,5,Avanzada
Intermedio,46.86931597949703,3,Moderada
Intermedio,41.48195023376652,1,Leve
Intermedio,27.340707193070624,0,Moderada
Intermedio,5.6375496650927115,2,Leve
Básico,86.47223762550531,4,Avanzada
Intermedio,81.29010091300776,4,Leve
Avanzado,99.97176732861305,3,Avanzada
Avanzado,99.66368370739053,5,Avanzada
Intermedio,55.543170560262745,2,Moderada
Avanzado,76.89874151805105,6,Avanzada
Intermedio,94.47657298824281,6,Avanzada
Avanzado,84.96473906774115,4,Leve
Básico,24.734810174319765,4,Leve
Básico,45.05441353100935,4,Moderada
Intermedio,12.915941515149498,0,Leve
Intermedio,95.40510272587224,3,Avanzada
Intermedio,60.617463445088006,6,Avanzada
Avanzado,22.864280550346272,0,Leve
Intermedio,67.17006844058567,2,Moderada
Básico,61.81282404578958,5,Moderada
Avanzado,35.81627180328405,5,Moderada
Intermedio,11.355759219962902,2,Leve
Avanzado,67.15731955927996,5,Avanzada
Avanzado,52.03077009037933,4,Moderada
Intermedio,77.23183917356393,6,Avanzada
Avanzado,52.01635011119934,4,Moderada
Básico,85.21815003185401,5,Avanzada
Básico,55.190683877448556,3,Moderada
Avanzado,56.093797153538624,3,Moderada
Intermedio,87.66536026583451,4,Avanzada
Avanzado,40.3482866212397,2,Moderada
Básico,13.401522845064074,0,Leve
Avanzado,2.8782676313338973,0,Avanzada
Avanzado,75.5137255673619,3,Avanzada
Básico,62.03095513534647,2,Moderada
Avanzado,70.40797680992236,4,Avanzada
Avanzado,21.296416150891073,3,Leve
Intermedio,13.637147558676975,2,Leve
Intermedio,1.4544665667881929,0,Leve
Básico,35.058755880659696,1,Leve
Básico,58.991768685463306,5,Moderada
Básico,39.22440450997323,1,Leve
Intermedio,43.747492202372904,2,Moderada
Básico,90.41586944937484,6,Avanzada
Básico,34.82554670233004,1,Leve
Básico,51.39894891598108,3,Moderada
Intermedio,78.3653012741143,3,Avanzada
Avanzado,39.65427823212701,2,Moderada
Básico,62.20867002278735,4,Moderada
Avanzado,86.23637087467452,3,Avanzada
Básico,94.9520623657642,6,Avanzada
Avanzado,14.707348092903793,1,Leve
Intermedio,92.65876251614944,6,Avanzada
Intermedio,49.21162930795382,3,Moderada
Básico,25.824438829895836,3,Leve
Avanzado,45.913575623826134,3,Moderada
Intermedio,98.0032575285477,5,Avanzada
Básico,49.26180939928696,3,Moderada
Básico,32.875161028750824,3,Moderada
Intermedio,63.34008543167258,4,Moderada
Intermedio,24.014561877819308,1,Leve
Básico,7.586332810866391,0,Leve
Avanzado,12.887972191064922,0,Leve
Avanzado,12.804583895777244,0,Leve
Avanzado,15.190269351229436,3,Leve
Básico,13.882717264941014,0,Leve
Intermedio,64.08747448032146,3,Moderada
Básico,18.188008439914483,0,Leve
Intermedio,34.56672833238632,3,Moderada
Avanzado,89.67884099060119,5,Avanzada
Avanzado,47.39616402628724,4,Moderada
Intermedio,66.75577385210272,3,Moderada
Intermedio,17.231987120162984,1,Leve
Básico,19.228901880867078,0,Leve
Avanzado,4.086861626647886,3,Leve
Básico,16.893506307216455,0,Avanzada
Básico,27.85903390319586,2,Leve
Básico,17.70104842767468,2,Leve
Avanzado,8.87025337570556,1,Leve
Básico,12.06358711006008,1,Leve
Básico,46.077876803272574,3,Moderada
Básico,20.63337184057925,1,Leve
Básico,36.42698610480755,2,Leve
Básico,50.34172708548569,4,Moderada
Básico,69.03948286293652,6,Avanzada
Avanzado,3.9312139841098936,0,Leve
Básico,79.94103989090426,3,Moderada
Intermedio,62.79003894909078,4,Moderada
Básico,8.17590319488719,4,Leve
Básico,87.35786241067773,4,Avanzada
Avanzado,92.08724005318132,6,Avanzada
Avanzado,6.107795985486375,2,Leve
Intermedio,27.687764814720374,1,Leve
Intermedio,80.62012797930613,6,Avanzada
Avanzado,74.82596903836584,6,Avanzada
Avanzado,18.45210193563773,1,Leve
Básico,20.93493233367103,1,Leve
Avanzado,37.0472102791382,2,Leve
Intermedio,48.45229851910213,2,Moderada
Básico,61.825477153029595,3,Moderada
Intermedio,36.891363956977244,1,Leve
Básico,46.25347161331479,3,Moderada
Avanzado,74.74709381337566,4,Avanzada
Intermedio,3.66832028905979,1,Leve
Básico,25.243694434402077,0,Leve
Básico,71.33495858845524,5,Avanzada
Avanzado,89.52068376871993,6,Avanzada
Avanzado,51.167744211566614,1,Avanzada
Avanzado,53.211348526531566,4,Moderada
Intermedio,10.717201133977605,2,Avanzada
Básico,44.741236682345466,1,Moderada
Avanzado,53.261726645502314,5,Moderada
Intermedio,24.247050363472965,2,Leve
Intermedio,26.924323094938096,1,Leve
Intermedio,37.728416310462265,2,Leve
Avanzado,2.007119777772637,1,Leve
Avanzado,32.20791655831783,2,Leve
Básico,21.144800699654464,2,Leve
Básico,32.74973521779147,1,Leve
Avanzado,11.976213181925122,1,Leve
Intermedio,89.0527280739895,4,Avanzada
Intermedio,59.359245355404866,3,Moderada
Intermedio,67.91023191444896,3,Moderada
Básico,78.91712386073382,4,Avanzada
Intermedio,49.84421989290573,4,Leve
Básico,8.69202880874237,2,Leve
Básico,53.71065418185478,4,Moderada
Intermedio,58.68411180208791,2,Moderada
Intermedio,74.54394741843299,4,Avanzada
Avanzado,43.16595462296794,4,Moderada
Avanzado,12.758030279556376,1,Leve
Intermedio,28.377590579872447,4,Moderada
Básico,36.30822963986351,3,Moderada
Básico,64.59172413316013,4,Moderada
Básico,57.077830466891186,3,Moderada
Básico,35.60967258978462,2,Leve
Básico,98.65152487929797,6,Avanzada
Avanzado,60.577481935688716,4,Moderada
Intermedio,23.72267917359945,3,Avanzada
Avanzado,10.178247262040374,0,Leve
Básico,15.285913918433202,0,Leve
Básico,24.595772838450813,0,Leve
Básico,16.06813732595557,2,Leve
Básico,18.656702405130577,0,Leve
Intermedio,28.50951686938471,0,Leve
Básico,17.33735952947548,2,Leve
Intermedio,89.67654246264252,6,Avanzada
Básico,8.023374566164222,0,Leve
Intermedio,52.451138957025464,4,Moderada
Avanzado,41.03968269896615,3,Moderada
Básico,98.23786169086064,6,Avanzada
Intermedio,11.203890216805235,2,Leve
Avanzado,39.785559904574164,2,Moderada
Básico,96.94704332753689,6,Avanzada
Básico,86.55071258939803,6,Avanzada
Básico,81.707207094928,4,Avanzada
Intermedio,25.790282704493983,3,Leve
Intermedio,17.088758739006582,1,Leve
Avanzado,66.8643219924431,3,Moderada
